fips,population,year,county,sex,age,ci,aci,rate,ageAdjust,count,
"27009","59829","2015-2017","Benton","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","24.2","25.4","144.62",,
"27009","60658","2016-2018","Benton","All","All Ages 35+ Combined                                                 ","(22.2 - 30.4)","(23.2 - 33.5)","26.3","28.4","159.6",,
"27009","61612","2017-2019","Benton","All","All Ages 35+ Combined                                                 ","(23.0 - 31.3)","(21.9 - 30.2)","27.2","26","167.37",,
"27009","62442","2018-2020","Benton","All","All Ages 35+ Combined                                                 ","(26.2 - 34.8)","(23.6 - 31.7)","30.5","27.7","190.55",,
"27009","20816","2020","Benton","All","All Ages 35+ Combined                                                 ","(21.6 - 36.6)","(19.3 - 33.3)","28.3","25.6","58.98",,
"27011","10238","2008-2010","Big Stone","All","All Ages 35+ Combined                                                 ","(65.4 - 101.6)","(42.7 - 69.3)","82","54.8","84",,
"27011","9949","2011-2013","Big Stone","All","All Ages 35+ Combined                                                 ","(51.3 - 84.4)","(31.7 - 54.7)","66.3","42.1","66",,
"27011","9747","2013-2015","Big Stone","All","All Ages 35+ Combined                                                 ","(46.1 - 78.1)","(30.5 - 56.8)","60.5","42.1","59",,
"27011","9115","2015-2017","Big Stone","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","26.4","20.5","24.06",,
"27011","9060","2016-2018","Big Stone","All","All Ages 35+ Combined                                                 ","(9.8 - 28.2)","(7.2 - 25.7)","17.3","14.4","15.64",,
"27011","9255","2017-2019","Big Stone","All","All Ages 35+ Combined                                                 ","(13.7 - 34.1)","(8.2 - 21.6)","22.2","13.8","20.56",,
"27011","9393","2018-2020","Big Stone","All","All Ages 35+ Combined                                                 ","(16.8 - 38.6)","(11.0 - 28.1)","26","18.1","24.46",,
"27011","3106","2020","Big Stone","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27013","81428","2008-2010","Blue Earth","All","All Ages 35+ Combined                                                 ","(32.3 - 40.6)","(28.3 - 35.8)","36.5","32","297",,
"27013","85820","2011-2013","Blue Earth","All","All Ages 35+ Combined                                                 ","(29.2 - 36.9)","(24.1 - 30.7)","33.1","27.4","284",,
"27013","87091","2013-2015","Blue Earth","All","All Ages 35+ Combined                                                 ","(29.9 - 37.6)","(24.8 - 31.4)","33.8","28.1","294",,
"27013","85928","2015-2017","Blue Earth","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","28.8","28.4","247.11",,
"27013","87673","2016-2018","Blue Earth","All","All Ages 35+ Combined                                                 ","(24.5 - 31.6)","(25.3 - 34.0)","28","29.7","245.89",,
"27013","89287","2017-2019","Blue Earth","All","All Ages 35+ Combined                                                 ","(23.9 - 30.8)","(21.6 - 28.1)","27.4","24.8","244.27",,
"27013","90944","2018-2020","Blue Earth","All","All Ages 35+ Combined                                                 ","(25.0 - 31.9)","(21.5 - 27.6)","28.5","24.5","258.94",,
"27013","30463","2020","Blue Earth","All","All Ages 35+ Combined                                                 ","(20.8 - 32.6)","(16.9 - 26.8)","26.2","21.4","79.75",,
"27015","45111","2008-2010","Brown","All","All Ages 35+ Combined                                                 ","(38.0 - 50.2)","(30.4 - 40.6)","44.1","35.5","199",,
"27015","44404","2011-2013","Brown","All","All Ages 35+ Combined                                                 ","(43.0 - 56.1)","(30.4 - 40.0)","49.5","35.2","220",,
"27015","43833","2013-2015","Brown","All","All Ages 35+ Combined                                                 ","(45.3 - 58.8)","(33.1 - 43.6)","52","38.3","228",,
"27015","42104","2015-2017","Brown","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","36.3","30.9","152.63",,
"27015","42009","2016-2018","Brown","All","All Ages 35+ Combined                                                 ","(32.5 - 44.4)","(27.3 - 39.0)","38.4","33.2","161.47",,
"27015","42801","2017-2019","Brown","All","All Ages 35+ Combined                                                 ","(31.9 - 43.5)","(23.9 - 33.3)","37.7","28.6","161.27",,
"27015","43592","2018-2020","Brown","All","All Ages 35+ Combined                                                 ","(34.8 - 46.8)","(25.7 - 35.4)","40.8","30.6","177.79",,
"27015","14547","2020","Brown","All","All Ages 35+ Combined                                                 ","(32.5 - 54.4)","(25.9 - 46.0)","42.4","34.9","61.67",,
"27017","58396","2008-2010","Carlton","All","All Ages 35+ Combined                                                 ","(27.9 - 37.2)","(24.8 - 33.2)","32.5","29","190",,
"27017","60812","2011-2013","Carlton","All","All Ages 35+ Combined                                                 ","(30.6 - 40.1)","(27.6 - 36.3)","35.4","31.9","215",,
"27017","61369","2013-2015","Carlton","All","All Ages 35+ Combined                                                 ","(34.2 - 44.1)","(29.4 - 38.0)","39.1","33.7","240",,
"27017","60031","2015-2017","Carlton","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","32.3","30.7","193.82",,
"27017","60203","2016-2018","Carlton","All","All Ages 35+ Combined                                                 ","(31.5 - 41.1)","(29.9 - 40.2)","36.3","35.1","218.5",,
"27017","61231","2017-2019","Carlton","All","All Ages 35+ Combined                                                 ","(30.1 - 39.4)","(26.4 - 35.0)","34.7","30.7","212.72",,
"27017","62252","2018-2020","Carlton","All","All Ages 35+ Combined                                                 ","(33.3 - 43.0)","(27.9 - 36.2)","38.1","32.1","237.28",,
"27017","20799","2020","Carlton","All","All Ages 35+ Combined                                                 ","(27.6 - 44.3)","(22.5 - 36.7)","35.2","29","73.28",,
"27019","138597","2008-2010","Carver","All","All Ages 35+ Combined                                                 ","(19.5 - 24.4)","(23.9 - 30.3)","21.9","27.1","304",,
"27019","147925","2011-2013","Carver","All","All Ages 35+ Combined                                                 ","(17.9 - 22.5)","(20.3 - 25.8)","20.2","23.1","299",,
"27019","154547","2013-2015","Carver","All","All Ages 35+ Combined                                                 ","(20.9 - 25.7)","(22.8 - 28.4)","23.3","25.6","360",,
"27019","156653","2015-2017","Carver","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","23.1","31.7","362.6",,
"27019","163078","2016-2018","Carver","All","All Ages 35+ Combined                                                 ","(19.7 - 24.2)","(25.1 - 32.6)","22","28.8","358.12",,
"27019","165638","2017-2019","Carver","All","All Ages 35+ Combined                                                 ","(19.6 - 24.1)","(21.4 - 26.7)","21.8","24","361.65",,
"27019","168265","2018-2020","Carver","All","All Ages 35+ Combined                                                 ","(19.6 - 24.1)","(20.2 - 24.9)","21.9","22.5","368.06",,
"27019","56505","2020","Carver","All","All Ages 35+ Combined                                                 ","(14.5 - 21.5)","(14.7 - 22.0)","18","18.4","101.87",,
"27021","51919","2008-2010","Cass","All","All Ages 35+ Combined                                                 ","(53.1 - 66.4)","(44.0 - 55.6)","59.7","49.8","310",,
"27021","53962","2011-2013","Cass","All","All Ages 35+ Combined                                                 ","(49.0 - 61.5)","(39.9 - 50.8)","55.2","45.4","298",,
"27021","54257","2013-2015","Cass","All","All Ages 35+ Combined                                                 ","(51.8 - 64.7)","(42.0 - 53.4)","58.2","47.7","316",,
"27021","53015","2015-2017","Cass","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","47.9","46.1","254.01",,
"27021","54031","2016-2018","Cass","All","All Ages 35+ Combined                                                 ","(44.0 - 55.9)","(39.3 - 52.3)","49.9","45.8","269.83",,
"27021","55132","2017-2019","Cass","All","All Ages 35+ Combined                                                 ","(44.1 - 55.9)","(34.3 - 44.6)","50","39.4","275.71",,
"27021","56132","2018-2020","Cass","All","All Ages 35+ Combined                                                 ","(50.0 - 62.4)","(37.9 - 48.5)","56.2","43.2","315.64",,
"27021","18742","2020","Cass","All","All Ages 35+ Combined                                                 ","(40.9 - 61.8)","(29.8 - 47.5)","50.5","37.9","94.72",,
"27023","21913","2008-2010","Chippewa","All","All Ages 35+ Combined                                                 ","(37.9 - 56.1)","(27.2 - 41.4)","47","34.3","103",,
"27023","21361","2011-2013","Chippewa","All","All Ages 35+ Combined                                                 ","(28.9 - 45.6)","(21.9 - 35.4)","36.5","28","78",,
"27023","20939","2013-2015","Chippewa","All","All Ages 35+ Combined                                                 ","(23.1 - 38.5)","(16.5 - 28.2)","30.1","21.8","63",,
"27023","20233","2015-2017","Chippewa","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","32.6","25.6","65.96",,
"27023","19913","2016-2018","Chippewa","All","All Ages 35+ Combined                                                 ","(25.8 - 42.4)","(21.0 - 37.1)","33.4","28.2","66.46",,
"27023","20234","2017-2019","Chippewa","All","All Ages 35+ Combined                                                 ","(22.1 - 37.5)","(17.4 - 30.9)","29","23.5","58.77",,
"27023","20514","2018-2020","Chippewa","All","All Ages 35+ Combined                                                 ","(24.8 - 40.9)","(18.9 - 32.3)","32.1","24.9","65.88",,
"27023","6832","2020","Chippewa","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27025","81991","2008-2010","Chisago","All","All Ages 35+ Combined                                                 ","(40.4 - 49.6)","(43.2 - 53.2)","45","48.2","369",,
"27025","90657","2011-2013","Chisago","All","All Ages 35+ Combined                                                 ","(28.7 - 36.1)","(28.7 - 36.3)","32.4","32.5","294",,
"27025","91969","2013-2015","Chisago","All","All Ages 35+ Combined                                                 ","(33.3 - 41.2)","(32.0 - 39.8)","37.3","35.9","343",,
"27025","91536","2015-2017","Chisago","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","31.7","35.9","290.33",,
"27025","93050","2016-2018","Chisago","All","All Ages 35+ Combined                                                 ","(27.8 - 35.0)","(30.6 - 40.6)","31.4","35.6","292.42",,
"27025","94542","2017-2019","Chisago","All","All Ages 35+ Combined                                                 ","(29.5 - 36.8)","(28.5 - 36.1)","33.1","32.3","313.25",,
"27025","96076","2018-2020","Chisago","All","All Ages 35+ Combined                                                 ","(31.3 - 38.8)","(29.0 - 36.1)","35.1","32.5","337.11",,
"27025","32193","2020","Chisago","All","All Ages 35+ Combined                                                 ","(23.3 - 35.4)","(20.9 - 32.1)","28.9","26","92.98",,
"27027","80083","2008-2010","Clay","All","All Ages 35+ Combined                                                 ","(30.8 - 38.9)","(26.7 - 33.9)","34.8","30.3","279",,
"27027","82724","2011-2013","Clay","All","All Ages 35+ Combined                                                 ","(28.3 - 36.0)","(25.0 - 31.9)","32.2","28.4","266",,
"27027","85238","2013-2015","Clay","All","All Ages 35+ Combined                                                 ","(39.4 - 48.3)","(35.4 - 43.6)","43.9","39.5","374",,
