county,fips,year,ozonePersonDayMon,ozoneDayStdMon,ozoneDayStdMod,ozoneAvgMod,ozoneModelFlag,pm25AvgMon,pm25PersonDayMon,pm25PctMon,pm25AvgMod,pm25ModelFlag,hasMonitor,hasOzoneMonitor,hasPm25Monitor,
"Carlton","27017","2015","35635","1","null","34","null","0","0","0","8.10","0","y","y","y"
"Carlton","27017","2017","0","0","null","33","null","4.5","0","0","5.0","null","y","y","y"
"Carlton","27017","2018","0","0","null","No data available","null","4.7","0","0","No data available","null","y","y","y"
"Carlton","27017","2019","0","0","null","No data available","null","3.1","0","0","No data available","null","y","y","y"
"Carlton","27017","2020","0","0","null","No data available","null","1.3","0","0","No data available","","y","y","y"
"Cass","27021","2003","No data available","No data available","2","No data available","1","6.2","0.0","0.0","8.3","1","y","n","y"
"Cass","27021","2004","No data available","No data available","0","No data available","1","6.6","0.0","0.0","8.3","1","y","n","y"
"Cass","27021","2005","No data available","No data available","0","No data available","1","5.6","0.0","0.0","8.8","1","y","n","y"
"Cass","27021","2006","No data available","No data available","1","No data available","1","6.4","0.0","0.0","8.3","1","y","n","y"
"Cass","27021","2007","No data available","No data available","1","No data available","1","No data available","222417.0","0.0","8.4","1","y","n","y"
"Cass","27021","2018","No data available","No data available","null","No data available","null","6.5","0","0","No data available","null","y","n","y"
"Cass","27021","2019","No data available","No data available","null","No data available","null","4.2","30266","0.29","No data available","null","y","n","y"
"Cass","27021","2020","No data available","No data available","null","No data available","null","4.4","0","0","No data available","","y","n","y"
"Cook","27031","2012","No data available","No data available","0","35.01","1","5.2","0.0","0.0","6.27","1","y","n","y"
"Cook","27031","2017","No data available","No data available","null","34","null","4.7","0","0","4.6","null","y","n","y"
"Cook","27031","2018","No data available","No data available","null","No data available","null","4.8","0","0","No data available","null","y","n","y"
"Cook","27031","2019","No data available","No data available","null","No data available","null","4.4","0","0","No data available","null","y","n","y"
"Cook","27031","2020","No data available","No data available","null","No data available","null","2.6","0","0","No data available","","y","n","y"
"Crow Wing","27035","2004","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.6","1","y","y","n"
"Crow Wing","27035","2005","180582","3","1","No data available","1","No data available","No data available","No data available","9.4","1","y","y","n"
"Crow Wing","27035","2006","183114","3","2","No data available","1","No data available","No data available","No data available","8.6","1","y","y","n"
"Crow Wing","27035","2007","184170","3","1","No data available","1","No data available","No data available","No data available","8.9","1","y","y","n"
"Crow Wing","27035","2008","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.8","1","y","y","n"
"Crow Wing","27035","2009","No data available","No data available","0","No data available","1","No data available","No data available","No data available","8.7","1","y","y","n"
"Crow Wing","27035","2010","62500","1","1","No data available","1","No data available","No data available","No data available","8.2","1","y","y","n"
"Crow Wing","27035","2011","125490","2","0","No data available","1","No data available","No data available","No data available","8.9","1","y","y","n"
"Crow Wing","27035","2012","No data available","No data available","0","35.02","1","7.0","0.0","0.0","8.72","1","y","y","y"
"Crow Wing","27035","2013","No data available","No data available","null","38.46","0","4.02","0","0","8.31","0","y","y","y"
"Crow Wing","27035","2014","No data available","No data available","null","33.10","0","5.1","0","0","5.82","0","y","y","y"
"Crow Wing","27035","2015","No data available","No data available","null","35","null","6.2","131203","0.0057","8.72","0","y","y","y"
"Crow Wing","27035","2017","0","0","null","34","null","5.4","0","0","6.0","null","y","y","y"
"Crow Wing","27035","2018","0","0","null","No data available","null","5.5","68578","0.3","No data available","null","y","y","y"
"Crow Wing","27035","2019","63855","1","null","No data available","null","4.3","0","0","No data available","null","y","y","y"
"Crow Wing","27035","2020","0","0","null","No data available","null","4.2","0","0","No data available","","y","y","y"
"Dakota","27037","2000","355904","1","null","No data available","0","No data available","No data available","No data available","No data available","0","y","y","n"
"Dakota","27037","2001","1449392","4","2","No data available","1","10.6","0.0","0.0","12.2","1","y","y","y"
"Dakota","27037","2002","1108779","3","1","No data available","1","9.8","1101596.9","0.0","10.9","1","y","y","y"
"Dakota","27037","2003","1126926","3","1","No data available","1","9.4","0.0","0.0","11.7","1","y","y","y"
"Dakota","27037","2004","No data available","No data available","0","No data available","1","8.2","0.0","0.0","11.1","1","y","y","y"
"Dakota","27037","2005","No data available","No data available","2","No data available","1","10.3","1189388.4","0.0","12.4","1","y","n","y"
"Dakota","27037","2006","No data available","No data available","0","No data available","1","8.8","0.0","0.0","11","1","y","n","y"
"Dakota","27037","2007","No data available","No data available","2","No data available","1","9.6","1228048.8","0.0","12","1","y","n","y"
"Dakota","27037","2008","No data available","No data available","0","No data available","1","9.5","1227672.8","0.0","11.5","1","y","n","y"
"Dakota","27037","2009","No data available","No data available","0","No data available","1","9.8","3742823.3","0.0","11.0","1","y","n","y"
"Dakota","27037","2010","No data available","No data available","0","No data available","1","No data available","2669201.0","0.0","11.0","1","y","n","y"
"Dakota","27037","2011","No data available","No data available","1","No data available","1","8.4","0.0","0.0","11.0","1","y","n","y"
"Dakota","27037","2012","No data available","No data available","0","35.87","1","7.6","0.0","0.0","10.65","1","y","n","y"
"Dakota","27037","2013","No data available","No data available","null","41.84","0","7.66","0.0","0.0","9.87","0","y","n","y"
"Dakota","27037","2014","No data available","No data available","null","33.30","0","7","0","0","7.85","0","y","n","y"
"Dakota","27037","2015","No data available","No data available","null","35","null","7.1","0","0","10.65","0","y","n","y"
"Dakota","27037","2018","No data available","No data available","null","No data available","null","7.5","0","0","No data available","null","y","n","y"
"Dakota","27037","2019","No data available","No data available","null","No data available","null","7","0","0","No data available","null","y","n","y"
"Dakota","27037","2020","No data available","No data available","null","No data available","null","7.6","418201","0.27","No data available","","y","n","y"
"Goodhue","27049","2004","No data available","No data available","0","No data available","1","No data available","No data available","No data available","10.5","1","y","y","n"
"Goodhue","27049","2005","230000","5","1","No data available","1","No data available","No data available","No data available","11.6","1","y","y","n"
"Goodhue","27049","2006","46086","1","1","No data available","1","No data available","No data available","No data available","10.5","1","y","y","n"
"Goodhue","27049","2007","184368","4","2","No data available","1","No data available","No data available","No data available","11.4","1","y","y","n"
"Goodhue","27049","2008","No data available","No data available","0","No data available","1","No data available","No data available","No data available","10.9","1","y","y","n"
"Goodhue","27049","2009","No data available","No data available","0","No data available","1","No data available","No data available","No data available","10.4","1","y","y","n"
"Goodhue","27049","2010","46183","1","0","No data available","1","No data available","No data available","No data available","10.1","1","y","y","n"
"Goodhue","27049","2011","92336","2","0","No data available","1","No data available","No data available","No data available","9.8","1","y","y","n"
"Goodhue","27049","2012","No data available","No data available","0","37.55","1","No data available","No data available","No data available","9.79","1","y","y","n"
"Goodhue","27049","2013","No data available","No data available","null","43.05","0","No data available","0","0","9.19","0","y","y","n"
"Goodhue","27049","2014","No data available","No data available","null","35.70","0","No data available","No data available","No data available","7.77","0","y","y","n"
"Goodhue","27049","2015","No data available","No data available","null","36","null","No data available","No data available","No data available","9.79","0","y","y","n"
"Goodhue","27049","2017","0","0","null","36","null","No data available","No data available","No data available","7.3","null","y","y","n"
"Goodhue","27049","2018","46138","1","null","No data available","null","No data available","No data available","No data available","No data available","null","y","y","n"
"Goodhue","27049","2019","0","0","null","No data available","null","No data available","No data available","No data available","No data available","null","y","y","n"
"Goodhue","27049","2020","0","0","null","No data available","null","No data available","No data available","No data available","No data available","null","y","y","n"
"Hennepin","27053","2001","No data available","No data available","3","No data available","1","11.9","5230561.6","0.0","12.5","1","y","n","y"
"Hennepin","27053","2002","No data available","No data available","3","No data available","1","10.5","1174719.6","0.0","10.7","1","y","n","y"
"Hennepin","27053","2003","No data available","No data available","3","No data available","1","10.3","0.0","0.0","12.4","1","y","n","y"
"Hennepin","27053","2004","No data available","No data available","0","No data available","1","9.3","0.0","0.0","12.1","1","y","n","y"
"Hennepin","27053","2005","No data available","No data available","3","No data available","1","10.3","3355920.7","0.0","13.4","1","y","n","y"
"Hennepin","27053","2006","No data available","No data available","0","No data available","1","9.9","0.0","0.0","11.7","1","y","n","y"
"Hennepin","27053","2007","No data available","No data available","2","No data available","1","10.2","3420701.6","0.0","12.8","1","y","n","y"
"Hennepin","27053","2008","No data available","No data available","0","No data available","1","10.3","6844426.1","0.0","12.1","1","y","n","y"
"Hennepin","27053","2009","No data available","No data available","0","No data available","1","10.1","10377476.6","0.0","11.4","1","y","n","y"
"Hennepin","27053","2010","No data available","No data available","0","No data available","1","9.2","3476323.0","0.0","11.6","1","y","n","y"
"Hennepin","27053","2011","No data available","No data available","1","No data available","1","9.3","0.0","0.0","11.4","1","y","n","y"
