pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1040031","1998","Radium","Oak Hills Fellowship Bible College","Beltrami","Bemidji","Groundwater","null","null","225","27007"
"1040032","1998","Radium","Pine Valley Mobile Home Park","Beltrami","Bemidji","Groundwater","null","null","60","27007"
"1040033","1998","Radium","Country Lane Mobile Home Park","Beltrami","Bemidji","Groundwater","null","null","35","27007"
"1040034","1998","Radium","Movil Lake Trailer Park","Beltrami","Bemidji","Groundwater","null","null","50","27007"
"1040035","1998","Radium","Roosevelt Manor","Beltrami","Bemidji","Groundwater","null","null","60","27007"
"1040036","1998","Radium","Cottage Creek Estates","Beltrami","Bemidji","Groundwater","null","null","35","27007"
"1040014","1998","Radium","Blackduck","Beltrami","Blackduck","Groundwater","null","null","797","27007"
"1040017","1998","Radium","Kelliher","Beltrami","Kelliher","Groundwater","null","null","266","27007"
"1050001","1998","Radium","Foley","Benton","Foley","Groundwater","null","null","2636","27009"
"1050002","1998","Radium","Rice","Benton","Rice","Groundwater","null","null","1279","27009"
"1050003","1998","Radium","Rockwood Estates","Benton","Rice","Groundwater","null","null","400","27009"
"1050009","1998","Radium","Benton Utilities LLC","Benton","Rice","Groundwater","null","null","120","27009"
"1050004","1998","Radium","Sauk Rapids","Benton","Sauk Rapids","Groundwater","null","null","13083","27009"
"1050005","1998","Radium","Fischers Garden Mobile Home Park","Benton","Sauk Rapids","Groundwater","null","null","220","27009"
"1060002","1998","Radium","Beardsley","Big Stone","Beardsley","Groundwater","null","null","231","27011"
"1060003","1998","Radium","Clinton","Big Stone","Clinton","Groundwater","null","null","450","27011"
"1060010","1998","Radium","Lismore Colony","Big Stone","Clinton","Groundwater","null","null","77","27011"
"1060004","1998","Radium","Correll","Big Stone","Correll","Groundwater","null","null","32","27011"
"1060005","1998","Radium","Graceville","Big Stone","Graceville","Groundwater","null","null","565","27011"
"1060009","1998","Radium","Big Stone Hutterite","Big Stone","Graceville","Groundwater","null","null","75","27011"
"1060007","1998","Radium","Odessa","Big Stone","Odessa","Groundwater","null","null","113","27011"
"1060008","1998","Radium","Ortonville","Big Stone","Ortonville","Groundwater","null","null","1916","27011"
"1070001","1998","Radium","Amboy","Blue Earth","Amboy","Groundwater","3.2 pCi/L","3.2 pCi/L","534","27013"
"1070002","1998","Radium","Eagle Lake","Blue Earth","Eagle Lake","Groundwater","null","null","2520","27013"
"1070005","1998","Radium","Good Thunder","Blue Earth","Good Thunder","Groundwater","null","null","583","27013"
"1070006","1998","Radium","Lake Crystal","Blue Earth","Lake Crystal","Groundwater","null","null","2554","27013"
"1070007","1998","Radium","Madison Lake","Blue Earth","Madison Lake","Groundwater","null","null","1017","27013"
"1070009","1998","Radium","Mankato","Blue Earth","Mankato","Groundwater","null","null","39624","27013"
"1070012","1998","Radium","Hillcrest Health Care Center","Blue Earth","Mankato","Groundwater","4.55 pCi/L","5.6 pCi/L","94","27013"
"1070016","1998","Radium","Rapidan Development Company, Inc.","Blue Earth","Mankato","Groundwater","null","null","164","27013"
"1070020","1998","Radium","Southview Heights","Blue Earth","Mankato","Groundwater","null","null","210","27013"
"1070021","1998","Radium","Stony Creek Well Association","Blue Earth","Mankato","Groundwater","null","null","51","27013"
"1070022","1998","Radium","Riverbend Estates","Blue Earth","Mankato","Groundwater","null","null","60","27013"
"1070024","1998","Radium","School Sisters of Notre Dame","Blue Earth","Mankato","Groundwater","null","null","165","27013"
"1070025","1998","Radium","Terrace View East Condominium Assoc.","Blue Earth","Mankato","Groundwater","null","null","25","27013"
"1070026","1998","Radium","South Bend Township","Blue Earth","Mankato","Groundwater","3.85 pCi/L","4.2 pCi/L","325","27013"
"1070013","1998","Radium","Mapleton","Blue Earth","Mapleton","Groundwater","null","null","1756","27013"
