,year,countyServed,max radium pCi/L
193,2002,McLeod,1.3
194,2002,Meeker,0.4
195,2002,Mille Lacs,1.4
196,2002,Morrison,0.9
197,2002,Mower,3.2
198,2002,Murray,1.0
199,2002,Nicollet,6.3
200,2002,Nobles,0.6
201,2002,Norman,0.5
202,2002,Olmsted,3.7
203,2002,Otter Tail,2.5
204,2002,Pennington,1.8
205,2002,Pine,18.3
206,2002,Pipestone,1.4
207,2002,Polk,1.0
208,2002,Pope,0.25
209,2002,Ramsey,3.2
210,2002,Red Lake,0.79
211,2002,Redwood,8.8
212,2002,Renville,2.8
213,2002,Rice,8.9
214,2002,Rock,0.45
215,2002,Roseau,1.2
216,2002,Scott,5.0
217,2002,Sherburne,2.7
218,2002,Sibley,10.1
219,2002,St. Louis,4.6
220,2002,Stearns,2.8
221,2002,Steele,6.1
222,2002,Stevens,0.2
223,2002,Swift,1.5
224,2002,Todd,0.35
225,2002,Traverse,0.5
226,2002,Wabasha,3.2
227,2002,Wadena,0.38
228,2002,Waseca,5.0
229,2002,Washington,3.2
230,2002,Watonwan,2.1
231,2002,Wilkin,1.1
232,2002,Winona,8.0
233,2002,Wright,2.9
234,2002,Yellow Medicine,0.45
235,2003,Aitkin,1.5
236,2003,Anoka,9.5
237,2003,Becker,2.5
238,2003,Beltrami,0.92
239,2003,Benton,0.7
240,2003,Big Stone,1.8
241,2003,Blue Earth,4.1
242,2003,Brown,11.6
243,2003,Carlton,0.5
244,2003,Carver,6.6
245,2003,Cass,1.04
246,2003,Chippewa,4.1
247,2003,Chisago,11.6
248,2003,Clay,1.4
249,2003,Clearwater,0.33
250,2003,Cook,0.5
251,2003,Cottonwood,5.2
252,2003,Crow Wing,1.0
253,2003,Dakota,5.2
254,2003,Dodge,2.8
255,2003,Douglas,2.0
256,2003,Faribault,3.5
257,2003,Fillmore,5.0
258,2003,Freeborn,3.2
259,2003,Goodhue,10.1
260,2003,Grant,2.5
261,2003,Hennepin,7.8
262,2003,Houston,15.7
263,2003,Hubbard,0.1
264,2003,Isanti,2.2
265,2003,Itasca,3.8
266,2003,Jackson,2.1
267,2003,Kanabec,0.5
268,2003,Kandiyohi,4.0
269,2003,Kittson,2.7
270,2003,Koochiching,1.0
271,2003,Lac Qui Parle,0.4
272,2003,Lake,1.7
273,2003,Lake of the Woods,1.1
274,2003,Le Sueur,2.8
275,2003,Lincoln,0.45
276,2003,Lyon,2.0
277,2003,Mahnomen,0.97
278,2003,Marshall,2.3
279,2003,Martin,4.4
280,2003,McLeod,3.7
281,2003,Meeker,0.4
282,2003,Mille Lacs,1.0
283,2003,Morrison,0.9
284,2003,Mower,3.2
285,2003,Murray,1.0
286,2003,Nicollet,6.3
287,2003,Nobles,0.6
288,2003,Norman,0.5
289,2003,Olmsted,3.4
290,2003,Otter Tail,2.5
291,2003,Pennington,1.8
292,2003,Pine,23.9
293,2003,Pipestone,1.4
294,2003,Polk,2.3
295,2003,Pope,1.9
296,2003,Ramsey,3.2
297,2003,Red Lake,0.79
298,2003,Redwood,7.0
299,2003,Renville,2.8
300,2003,Rice,5.9
301,2003,Rock,0.45
302,2003,Roseau,1.2
303,2003,Scott,5.0
304,2003,Sherburne,2.7
305,2003,Sibley,6.9
306,2003,St. Louis,4.6
307,2003,Stearns,2.8
308,2003,Steele,6.1
309,2003,Stevens,0.2
310,2003,Swift,1.7
311,2003,Todd,0.9
312,2003,Traverse,0.5
313,2003,Wabasha,3.2
314,2003,Wadena,0.38
315,2003,Waseca,5.0
316,2003,Washington,3.2
317,2003,Watonwan,2.1
318,2003,Wilkin,1.1
319,2003,Winona,9.1
320,2003,Wright,2.9
321,2003,Yellow Medicine,0.45
322,2004,Aitkin,1.5
323,2004,Anoka,11.7
324,2004,Becker,2.5
325,2004,Beltrami,0.92
326,2004,Benton,0.5
327,2004,Big Stone,1.8
328,2004,Blue Earth,4.6
329,2004,Brown,13.4
330,2004,Carlton,0.5
331,2004,Carver,7.0
332,2004,Cass,1.04
333,2004,Chippewa,4.1
334,2004,Chisago,6.5
335,2004,Clay,1.4
336,2004,Clearwater,0.33
337,2004,Cook,0.5
338,2004,Cottonwood,5.3
339,2004,Crow Wing,1.0
340,2004,Dakota,7.5
341,2004,Dodge,2.8
342,2004,Douglas,2.0
343,2004,Faribault,5.1
344,2004,Fillmore,5.0
345,2004,Freeborn,4.9
346,2004,Goodhue,17.8
347,2004,Grant,2.5
348,2004,Hennepin,7.0
349,2004,Houston,9.3
350,2004,Hubbard,0.2
351,2004,Isanti,6.6
352,2004,Itasca,3.8
353,2004,Jackson,2.4
354,2004,Kanabec,0.5
355,2004,Kandiyohi,4.5
356,2004,Kittson,2.7
357,2004,Koochiching,1.0
358,2004,Lac Qui Parle,0.4
359,2004,Lake,1.7
360,2004,Lake of the Woods,1.1
361,2004,Le Sueur,5.6
362,2004,Lincoln,0.45
363,2004,Lyon,2.0
364,2004,Mahnomen,0.97
365,2004,Marshall,2.3
366,2004,Martin,4.4
367,2004,McLeod,4.4
368,2004,Meeker,0.4
369,2004,Mille Lacs,1.0
370,2004,Morrison,0.9
371,2004,Mower,3.7
372,2004,Murray,1.0
373,2004,Nicollet,4.0
374,2004,Nobles,2.6
375,2004,Norman,0.5
376,2004,Olmsted,5.0
377,2004,Otter Tail,2.5
378,2004,Pennington,1.8
379,2004,Pine,18.6
380,2004,Pipestone,1.4
381,2004,Polk,2.3
382,2004,Pope,1.9
383,2004,Ramsey,7.3
384,2004,Red Lake,0.79
385,2004,Redwood,9.9
386,2004,Renville,2.8
387,2004,Rice,4.5
388,2004,Rock,0.6
389,2004,Roseau,1.2
390,2004,Scott,9.6
391,2004,Sherburne,3.2
392,2004,Sibley,8.9
393,2004,St. Louis,4.6
394,2004,Stearns,3.9
395,2004,Steele,6.6
396,2004,Stevens,0.2
397,2004,Swift,1.7
398,2004,Todd,0.9
399,2004,Traverse,0.5
400,2004,Wabasha,4.1
401,2004,Wadena,0.38
402,2004,Waseca,4.0
403,2004,Washington,6.9
404,2004,Watonwan,3.3
