,year,countyServed,max arsenic (ug/L)
199,2001,Kittson,0.5
200,2001,Koochiching,11
201,2001,Lac Qui Parle,1.8
202,2001,Lake,0.5
203,2001,Lake of the Woods,1.5
204,2001,Le Sueur,4.5
205,2001,Lincoln,1.8
206,2001,Lyon,5.3
207,2001,Mahnomen,7.4
208,2001,Marshall,23.8
209,2001,Martin,6.7
210,2001,McLeod,39
211,2001,Meeker,16
212,2001,Mille Lacs,2.5
213,2001,Morrison,4.5
214,2001,Mower,13
215,2001,Murray,5.2
216,2001,Nicollet,10
217,2001,Nobles,1.8
218,2001,Norman,23.9
219,2001,Olmsted,1.8
220,2001,Otter Tail,22
221,2001,Pennington,0.5
222,2001,Pine,8
223,2001,Pipestone,5.32
224,2001,Polk,35
225,2001,Pope,11.9
226,2001,Ramsey,7.9
227,2001,Red Lake,1.2
228,2001,Redwood,4.7
229,2001,Renville,31.8
230,2001,Rice,6.48
231,2001,Rock,3.27
232,2001,Roseau,7.98
233,2001,Scott,1.44
234,2001,Sherburne,1.96
235,2001,Sibley,16
236,2001,St. Louis,4
237,2001,Stearns,18.4
238,2001,Steele,1.1
239,2001,Stevens,2.5
240,2001,Swift,7.5
241,2001,Todd,6
242,2001,Traverse,31
243,2001,Wabasha,0.5
244,2001,Wadena,2
245,2001,Waseca,6.43
246,2001,Washington,5.51
247,2001,Watonwan,9.97
248,2001,Wilkin,2.3
249,2001,Winona,1.79
250,2001,Wright,19.2
251,2001,Yellow Medicine,21.4
252,2002,Aitkin,4.4
253,2002,Anoka,6.5
254,2002,Becker,29
255,2002,Beltrami,3.97
256,2002,Benton,1.9
257,2002,Big Stone,12
258,2002,Blue Earth,7.49
259,2002,Brown,4.83
260,2002,Carlton,2.97
261,2002,Carver,7.06
262,2002,Cass,36.3
263,2002,Chippewa,4.66
264,2002,Chisago,4.8
265,2002,Clay,37
266,2002,Clearwater,2.6
267,2002,Cook,4.22
268,2002,Cottonwood,2.9
269,2002,Crow Wing,8
270,2002,Dakota,2.9
271,2002,Dodge,0.5
272,2002,Douglas,9.22
273,2002,Faribault,15
274,2002,Fillmore,1.13
